"","SubjectID","YearsExperience","PitchScore","EmotionIDScore"
"1","54232559fdf99b328baf8e97",0,8.25,0.4
"2","54c9338ffdf99b5ae29f4383",0,3.75,0.6
"3","54ce8174fdf99b794176a16f",3,9,0.4
"4","5589548ffdf99b6bd060167f",0,11.125,0.6
"5","558957c3fdf99b6be52eb070",0,8.25,0.6
"6","55998a12fdf99b37246ad824",0,7,0.7
"7","55a45d8afdf99b126e6251bf",0,6.5,0.55
"8","55aa47b2fdf99b4b4b778f03",0,9.75,0.5
"9","55b8113efdf99b4633359b7b",0,8.25,0.6
"10","55bd1d39fdf99b374ec070a7",12,9.75,0.6
"11","55d06fd334e9060012e5781c",0,3,0.5
"12","55f42b6a32af740005170bd0",8,11.5,0.7
"13","5601464e77f33b0012cb4130",0,10,0.55
"14","5654b05004212700104a1d46",7,8.75,0.5
"15","5681739dc5767f00051de427",0,9.25,0.75
"16","56bb6364724769000cb8ec0a",0,2.5,0.6
"17","56e5e6ef25f3bd000a40820c",0,7,0.65
"18","56eb00e515ef53000b46726c",0,1.625,0.3
"19","5712a503ba4da20011c0132f",0,1,0.5
"20","57276d56e386b9000f3f8248",0,5.75,0.45
"21","572f983cad13160009008aa1",0,8,0.45
"22","5745ef705bef98000fadc462",0,7.75,0.45
"23","577a1ba12ed4a60001ad55dc",0,8.5,0.45
"24","577d9254c6144900014a0083",0,7,0.5
"25","5797bc9aad1a6c000146818c",4,8.5,0.3
"26","57a9e6f82fc0d400012c9db2",3,7.5,0.55
"27","57f0d96061e8340001877045",0,6.25,0.5
"28","57f5ebac733f560001b587c9",0,8.25,0.6
"29","57f697c6733f560001b5898b",0,9.25,0.25
"30","580540118f420f00011a634c",0,10,0.5
"31","5810dfccaba80400016f13ea",0,11,0.5
"32","58131e96a293da0001b68f81",1,7.25,0.5
"33","581d50e882c5aa000132ce4f",4,9.75,0.4
"34","584753d45b0fdf00014e4f60",0,1.125,0.3
"35","584a9b1a49ab8b000156b17c",5,11.375,0.45
"36","584ae4ded94df300014c6281",0,8.5,0.65
"37","584ea9b8d5c5b60001141dde",0,6.5,0.55
"38","585ffaf6a205a90001e7e30d",0,10,0.5
"39","5873b2d22bd3c90001859b76",4,11.375,0.4
"40","589c05b834fcb30001052bde",1,10,0.6
"41","58b6424b8f14260001a6bcd0",0,10.625,0.3
"42","58c508c1b101a700012938fa",0,7,0.4
"43","58c565298a3f870001c0e70d",2,8.5,0.6
"44","58da6318ac73bd0001342afb",10,3.5,0.4
"45","58f669cefb4d7500014af69b",3,11.25,0.45
"46","5924be80b8177e0001975ec7",1,9,0.5
"47","592eb652b97ad000017449da",5,8.75,0.55
"48","59466291d504750001dce1e8",2,9.5,0.65
"49","594907f28fb2140001afd58d",10,9,0.5
"50","5952b968243bab0001bd2bcd",0,7.75,0.55
"51","595bb42745265c000166d399",0,4.25,0.55
"52","5960d28c2fa2630001d87daf",0,5,0.5
"53","5962f252b692380001417ab9",0,10,0.4
"54","596c2da3389a5b0001264c15",0,9.75,0.35
"55","596c8dce12209100018745de",0,8,0.4
"56","596e51b8b174180001756e7a",0,9.25,0.65
"57","596f51387ec240000170c512",0,3,0.75
"58","5975ea651a800200011cd0f7",0,8.75,0.3
"59","597f3eda813b0c00019cb3bd",6,9.25,0.65
"60","597f9aedd1cadf0001c003fc",0,11.5,0.55
"61","59837ec704619b00011a8ddb",3,11.375,0.5
"62","598728a8d3103300010a32f5",0,5.75,0.85
"63","5996025a5f49420001cafcdc",30,10.25,0.3
"64","59a534dc4d25e800012fcd66",0,9.25,0.65
"65","59a800138ae07f0001b134c8",40,11.875,0.45
"66","59ad23d45ea0f300012816ad",0,9.75,0.5
"67","59b2de26180e830001575bab",1,10.5,0.5
"68","59b6e6ddb269ef00018018c6",5,10.5,0.3
"69","59b704b83849cf00019374e9",0,5.5,0.4
"70","59b73df56039190001eaa9e7",0,9.75,0.75
"71","59b8d41a7547b100012d6f92",8,8.75,0.6
"72","59b94b6211212f0001cd118a",0,7.25,0.65
"73","59bd9d450ac77f0001f058cb",7,6.5,0.3
"74","59c43d6ecb3cd4000101d4ed",0,4.5,0.35
"75","59d39d8200d49400018173d9",0,4.75,0.45
"76","59d3d572f35ff40001914c60",0,5,0.55
"77","59da8d89c27f690001079ae0",0,7.5,0.2
"78","59e69c7377860e0001512eb5",14,9.5,0.4
"79","59e8e3c8c0d35a000129539e",0,8.5,0.45
"80","59f05fd65de9b000017ed8c3",7,10.25,0.7
"81","59f119b662637600014a87cd",0,6.75,0.4
"82","59fd0f13517dfb00013dac9b",6,5,0.25
"83","5a0474e4fe645f0001e9ed4a",0,7.25,0.55
"84","5a08a207087f2e0001eae18d",0,10.875,0.45
"85","5a1763b50fff620001a6d567",4,10.5,0.5
"86","5a1d95d8120fb3000194a4b3",0,8.5,0.5
"87","5a24bcab681a240001ff42de",5,9.75,0.6
