session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,sex,language,current_country_of_residence,nationality,country_of_birth,ethnicity,student_status,employment_status,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,English speaking Monolingual
5abea1f2f69e940001d9471f,5a79e8161904200001558ea5,Approved,2018-03-30 20:45:38.969000,2018-03-30 20:52:26.184000,407.215,20,Male,English,Ireland,Ireland,Ireland,Caucasian,Yes,Unemployed (and job seeking),1,0,100,2018-03-30 21:22:01.848000,Q077JXSFO,I only know English
5abea5691667e40001d82b18,59f4844cbe9c0c0001486960,Timed-Out,2018-03-30 21:00:25.795000,,243530.808336,34,Female,English,United Kingdom,United Kingdom,United Kingdom,Mixed,No,Part-Time,33,0,100,,,I only know English
5abea5c368b65b00018d2003,5abbee791667e40001d80694,Approved,2018-03-30 21:01:55.923000,2018-03-30 21:06:29.076000,273.153,30,Female,English,United Kingdom,United Kingdom,United Kingdom,Caucasian,Yes,Full-Time,5,0,100,2018-03-30 21:22:03.284000,Q077JXSFO,I only know English
5abea7f5436f550001ffa422,599c9d94d0bcd10001dd9520,Rejected,2018-03-30 21:11:17.667000,2018-03-30 21:13:14.607000,116.94,35,Female,English,United Kingdom,United Kingdom,United Kingdom,Caucasian,No,Part-Time,0,1,100,2018-03-31 18:42:42.986000,NOCODE,I only know English
5abea808e734400001d9fdad,592eb652b97ad000017449da,Approved,2018-03-30 21:11:36.337000,2018-03-30 21:16:05.497000,269.16,24,Female,English,United Kingdom,United Kingdom,United Kingdom,Caucasian,No,Part-Time,25,0,100,2018-03-30 21:22:04.050000,Q077JXSFO,I only know English
5abeaaf9e734400001d9fdcf,584ae4ded94df300014c6281,Approved,2018-03-30 21:24:09.214000,2018-03-30 21:30:16.052000,366.838,39,Female,English,United Kingdom,United Kingdom,Canada,Caucasian,No,Full-Time,22,0,100,2018-03-31 18:40:59.127000,Q077JXSFO,I only know English
5abeab499534ba0001c709a9,58fcf3c797ddae0001a66535,Timed-Out,2018-03-30 21:25:29.285000,,242030.128146,32,Female,English,United Kingdom,United Kingdom,United Kingdom,Caucasian,No,"Not in paid work (e.g. homemaker, retired or disabled)",90,0,100,,,I only know English
5abeab5568b65b00018d2051,5952b968243bab0001bd2bcd,Approved,2018-03-30 21:25:41.662000,2018-03-30 21:31:41.333000,359.671,41,Female,English,United Kingdom,United Kingdom,United Kingdom,Caucasian,No,Full-Time,99,1,100,2018-03-31 18:41:02.522000,Q077JXSFO,I only know English
5abeabb5e734400001d9fdd6,5797bc9aad1a6c000146818c,Approved,2018-03-30 21:27:17.786000,2018-03-30 21:32:39.416000,321.63,57,Male,English,United Kingdom,United Kingdom,United Kingdom,Caucasian,No,Full-Time,190,2,100,2018-03-31 18:41:03.338000,Q077JXSFO,I only know English
5abeace21667e40001d82b7b,5a8044b1eea3d300016e3da1,Approved,2018-03-30 21:32:18.533000,2018-03-30 21:38:23.844000,365.311,73,Female,English,United Kingdom,United Kingdom,United Kingdom,Caucasian,No,"Not in paid work (e.g. homemaker, retired or disabled)",4,0,100,2018-03-31 18:41:10.024000,Q077JXSFO,I only know English
5abeacf15cd105000161fdbc,58131e96a293da0001b68f81,Approved,2018-03-30 21:32:33.226000,2018-03-30 21:37:55.270000,322.044,34,Female,English,United Kingdom,United Kingdom,United Kingdom,Caucasian,No,Full-Time,23,2,98,2018-03-31 18:41:04.099000,Q077JXSFO,I only know English
